PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SHOT_CLOCK_RANGE
1627826,Ivica Zubac,1610612746,LAC,28.0,80,57,0.118,0.71,1.39,0.514,0.514,0.118,0.71,1.39,0.514,0.0,0.0,0.0,,24-22
1642274,Yves Missi,1610612740,NOP,21.0,73,50,0.185,0.66,1.25,0.527,0.527,0.185,0.66,1.25,0.527,0.0,0.0,0.0,,24-22
1631105,Jalen Duren,1610612765,DET,21.0,78,50,0.178,0.77,1.24,0.619,0.619,0.178,0.77,1.24,0.619,0.0,0.0,0.0,,24-22
1631109,Mark Williams,1610612766,CHA,23.0,44,29,0.121,0.59,1.23,0.481,0.481,0.121,0.59,1.23,0.481,0.0,0.0,0.0,,24-22
1629011,Mitchell Robinson,1610612752,NYK,27.0,16,10,0.365,0.75,1.19,0.632,0.632,0.365,0.75,1.19,0.632,0.0,0.0,0.0,,24-22
1627751,Jakob Poeltl,1610612761,TOR,29.0,57,32,0.112,0.74,1.14,0.646,0.646,0.112,0.74,1.14,0.646,0.0,0.0,0.0,,24-22
202685,Jonas Valančiūnas,1610612758,SAC,33.0,81,49,0.139,0.51,1.07,0.471,0.471,0.139,0.51,1.07,0.471,0.0,0.0,0.0,,24-22
1631117,Walker Kessler,1610612762,UTA,23.0,58,35,0.14,0.66,1.02,0.644,0.644,0.138,0.66,1.0,0.655,0.002,0.0,0.02,0.0,24-22
1627734,Domantas Sabonis,1610612758,SAC,29.0,70,38,0.08,0.54,1.01,0.535,0.535,0.08,0.54,1.01,0.535,0.0,0.0,0.0,,24-22
1630542,Marcus Bagley,1610612755,PHI,23.0,10,6,0.145,0.8,1.0,0.8,0.8,0.145,0.8,1.0,0.8,0.0,0.0,0.0,,24-22
1631199,Ron Harper Jr.,1610612765,DET,25.0,1,1,0.125,0.0,1.0,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,,24-22
203076,Anthony Davis,1610612742,DAL,32.0,51,30,0.053,0.61,0.94,0.646,0.646,0.053,0.61,0.94,0.646,0.0,0.0,0.0,,24-22
1630549,Day'Ron Sharpe,1610612751,BKN,23.0,50,29,0.148,0.46,0.94,0.489,0.489,0.148,0.46,0.94,0.489,0.0,0.0,0.0,,24-22
1630578,Alperen Sengun,1610612745,HOU,22.0,76,44,0.062,0.38,0.93,0.408,0.408,0.062,0.38,0.93,0.408,0.0,0.0,0.0,,24-22
1641744,Zach Edey,1610612763,MEM,23.0,65,35,0.14,0.57,0.92,0.617,0.617,0.14,0.57,0.92,0.617,0.0,0.0,0.0,,24-22
1630168,Onyeka Okongwu,1610612737,ATL,24.0,74,42,0.099,0.49,0.92,0.529,0.529,0.099,0.49,0.92,0.529,0.0,0.0,0.0,,24-22
1631166,Drew Timme,1610612751,BKN,24.0,9,5,0.078,0.44,0.89,0.5,0.5,0.078,0.44,0.89,0.5,0.0,0.0,0.0,,24-22
203991,Clint Capela,1610612737,ATL,31.0,55,32,0.126,0.35,0.89,0.388,0.388,0.126,0.35,0.89,0.388,0.0,0.0,0.0,,24-22
203497,Rudy Gobert,1610612750,MIN,33.0,72,37,0.124,0.6,0.88,0.683,0.683,0.124,0.6,0.88,0.683,0.0,0.0,0.0,,24-22
1641709,Ausar Thompson,1610612765,DET,22.0,59,31,0.113,0.54,0.88,0.615,0.615,0.113,0.54,0.88,0.615,0.0,0.0,0.0,,24-22
1626157,Karl-Anthony Towns,1610612752,NYK,29.0,71,43,0.052,0.55,0.87,0.629,0.629,0.051,0.55,0.86,0.639,0.001,0.0,0.01,0.0,24-22
202696,Nikola Vučević,1610612741,CHI,34.0,73,41,0.06,0.52,0.85,0.613,0.621,0.059,0.51,0.84,0.607,0.001,0.01,0.01,1.0,24-22
203507,Giannis Antetokounmpo,1610612749,MIL,30.0,67,38,0.039,0.58,0.76,0.765,0.765,0.039,0.58,0.76,0.765,0.0,0.0,0.0,,24-22
1629651,Nic Claxton,1610612751,BKN,26.0,70,36,0.093,0.47,0.76,0.623,0.623,0.093,0.47,0.76,0.623,0.0,0.0,0.0,,24-22
1629028,Deandre Ayton,1610612757,POR,26.0,40,22,0.064,0.53,0.75,0.7,0.7,0.064,0.53,0.75,0.7,0.0,0.0,0.0,,24-22
1642368,N'Faly Dante,1610612745,HOU,23.0,4,2,0.231,0.5,0.75,0.667,0.667,0.231,0.5,0.75,0.667,0.0,0.0,0.0,,24-22
203083,Andre Drummond,1610612755,PHI,31.0,40,20,0.128,0.4,0.75,0.533,0.533,0.128,0.4,0.75,0.533,0.0,0.0,0.0,,24-22
1630208,Nick Richards,1610612756,PHX,27.0,57,30,0.121,0.58,0.74,0.786,0.786,0.121,0.58,0.74,0.786,0.0,0.0,0.0,,24-22
1630700,Dyson Daniels,1610612737,ATL,22.0,76,41,0.061,0.45,0.74,0.607,0.625,0.057,0.42,0.7,0.604,0.003,0.03,0.04,0.667,24-22
203954,Joel Embiid,1610612755,PHI,31.0,19,8,0.044,0.26,0.74,0.357,0.357,0.044,0.26,0.74,0.357,0.0,0.0,0.0,,24-22
1629048,Goga Bitadze,1610612753,ORL,25.0,70,32,0.15,0.46,0.73,0.627,0.627,0.15,0.46,0.73,0.627,0.0,0.0,0.0,,24-22
203500,Steven Adams,1610612745,HOU,31.0,58,28,0.251,0.41,0.72,0.571,0.571,0.251,0.41,0.72,0.571,0.0,0.0,0.0,,24-22
1628392,Isaiah Hartenstein,1610612760,OKC,27.0,57,26,0.086,0.4,0.72,0.561,0.561,0.086,0.4,0.72,0.561,0.0,0.0,0.0,,24-22
