removed,log_loss,brier,auc,logloss_cost,auc_cost,seed
full_model,0.6348809578964947,0.22329080684243222,0.6637473076286169,0.0,0.0,0
geometry (location + action type),0.6515469110118678,0.2299367422834439,0.6500245830493502,0.01666595311537311,0.01372272457926671,0
possession (shot clock + chance start),0.6362042149039495,0.22386493271494337,0.6607056631857802,0.0013232570074548367,0.0030416444428367218,0
game state,0.6352493740754127,0.2234375135442031,0.6627892171956427,0.0003684161789180296,0.0009580904329742346,0
shooter prior,0.6368841495664624,0.22419482019877449,0.657980851546694,0.002003191669967763,0.005766456081922944,0
action type alone,0.6444684372200046,0.2270401331066703,0.6565139421910446,0.009587479323509895,0.007233365437572248,0
location alone,0.6409069323830987,0.22573097046469134,0.6580945920448211,0.006025974486604024,0.005652715583795764,0
shot clock alone,0.6359858732586078,0.22376616690432619,0.661338892509128,0.0011049153621131014,0.0024084151194888603,0
chance start type alone,0.6352778301015414,0.223450909457289,0.6630432375917797,0.0003968722050466944,0.0007040700368371455,0
full_model,0.6349823273687478,0.22334648367369073,0.6636094442751094,0.0,0.0,1
geometry (location + action type),0.6514860518242662,0.22991752767594922,0.6498264692607827,0.016503724455518398,0.013782975014326682,1
possession (shot clock + chance start),0.6361486138705915,0.22385455723936287,0.6607956704582776,0.001166286501843694,0.0028137738168317883,1
game state,0.6351906752860338,0.2234373854358479,0.6628593924177246,0.00020834791728596702,0.0007500518573847481,1
shooter prior,0.6368501393703312,0.22419167853466876,0.6579440388744348,0.0018678120015833688,0.005665405400674617,1
action type alone,0.6446306466329143,0.22712293847432136,0.6560341356677433,0.009648319264166427,0.007575308607366105,1
location alone,0.6408794266452367,0.2257250460600634,0.658042431158009,0.005897099276488849,0.0055670131171003945,1
shot clock alone,0.6360453131311963,0.22379871380907804,0.6611682364850362,0.001062985762448454,0.0024412077900731743,1
chance start type alone,0.6353077213709728,0.2234865810065121,0.6629183888294103,0.00032539400222497683,0.0006910554456990292,1
full_model,0.6349838400645382,0.2233388914343274,0.6635398121951832,0.0,0.0,2
geometry (location + action type),0.6514665421354862,0.22990514553566024,0.649922166744506,0.01648270207094793,0.01361764545067723,2
possession (shot clock + chance start),0.6361927002687866,0.22386397957442025,0.6607861958207539,0.0012088602042483743,0.0027536163744292796,2
game state,0.6352925149950172,0.22347060141985567,0.6624180860740421,0.0003086749304789249,0.0011217261211411422,2
shooter prior,0.636808984186857,0.22417195585488342,0.6581678485350251,0.0018251441223188225,0.00537196366015813,2
action type alone,0.6444637038382305,0.22703868321307014,0.6565485093096715,0.009479863773692254,0.006991302885511752,2
location alone,0.6407972970242434,0.22569318299974975,0.6581324016218536,0.005813456959705143,0.005407410573329607,2
shot clock alone,0.63578571300591,0.22369354359007457,0.6614393309473144,0.0008018729413717951,0.0021004812478687684,2
chance start type alone,0.6351548685834444,0.22341476240556524,0.6629932324725859,0.00017102851890615778,0.0005465797225973068,2
full_model,0.6348425503205666,0.2232792804122112,0.6636056719979252,0.0,0.0,3
geometry (location + action type),0.6514414326913539,0.22989377023972074,0.6500589999525428,0.016598882370787327,0.013546672045382402,3
possession (shot clock + chance start),0.6361077578309464,0.22382898369262297,0.660791554257302,0.00126520751037984,0.0028141177406232343,3
game state,0.6351376328245614,0.22340701716801226,0.6628169592222777,0.0002950825039947924,0.0007887127756475154,3
shooter prior,0.6369012234535999,0.22420577385640278,0.6579601267396685,0.0020586731330333174,0.005645545258256668,3
action type alone,0.6444605049636114,0.22704062815457357,0.6564153961240812,0.009617954643044824,0.007190275873844021,3
location alone,0.6406170952621778,0.22560327726875945,0.6583662038154523,0.005774544941611226,0.005239468182472895,3
shot clock alone,0.635872952470062,0.2237242136702419,0.6614836053431823,0.0010304021494954574,0.0021220666547429046,3
chance start type alone,0.6353259321360658,0.2234835141887644,0.6628726236153636,0.00048338181549922865,0.0007330483825616074,3
full_model,0.6349191815140547,0.22331635109076017,0.6635045789076893,0.0,0.0,4
geometry (location + action type),0.6515413104997213,0.229936665713521,0.6499835069415046,0.016622128985666618,0.013521071966184683,4
possession (shot clock + chance start),0.635979312488631,0.22377623091572324,0.6608389919842634,0.0010601309745763565,0.002665586923425889,4
game state,0.6352001406532387,0.2234375561554469,0.6626361440100506,0.0002809591391840227,0.0008684348976387701,4
shooter prior,0.6368219183842595,0.2241805838883011,0.6580239350584474,0.001902736870204813,0.005480643849241962,4
action type alone,0.6444883273628415,0.22706012249924765,0.6563939055164243,0.009569145848786764,0.007110673391265032,4
location alone,0.6407140236801624,0.2256525399102438,0.6580823778047675,0.005794842166107705,0.005422201102921798,4
shot clock alone,0.6356849569324774,0.22364877179063,0.6615752686889017,0.0007657754184227095,0.0019293102187876165,4
chance start type alone,0.6354106372693326,0.2235173993237851,0.662604516254286,0.0004914557552778698,0.0009000626534033662,4
