S,N,V_BALL,SD,SE
6.0,2197,0.4524351388256714,1.1084785582178915,0.023648972067497057
7.0,2079,0.49975949975949974,1.152840964983348,0.02528378889766165
8.0,1999,0.4752376188094047,1.2327943514546575,0.027573013836635133
9.0,1899,0.4570826750921538,1.2532890843649813,0.02875999291945177
10.0,1799,0.42690383546414673,1.3028884344897744,0.030717908843131723
11.0,1736,0.5086405529953917,1.3845317546582663,0.033229825483228066
12.0,1609,0.4599129894344313,1.3955473764751396,0.03479097201844138
13.0,1550,0.432258064516129,1.3740157805684972,0.03490003572649301
14.0,1582,0.45448798988621997,1.409335266007535,0.03543325746415638
15.0,1567,0.4658583280153159,1.3891394610479633,0.035092260951829705
16.0,1457,0.515442690459849,1.4926335922928675,0.03910420270347166
17.0,1597,0.48966812773951157,1.469207653939121,0.03676467440224554
18.0,1596,0.40977443609022557,1.5110891085295441,0.037824537973121145
19.0,1569,0.5493945188017846,1.5896712864535987,0.04013246707224311
20.0,1680,0.4511904761904762,1.5450352039503412,0.03769499920607975
21.0,1684,0.4477434679334917,1.52624133462374,0.03719222560955709
22.0,1801,0.569683509161577,1.5690592934763723,0.03697281341677228
23.0,1970,0.5243654822335025,1.600426945457514,0.036058091932046725
24.0,2104,0.5256653992395437,1.6519004557657053,0.03601314132083142
25.0,2280,0.45394736842105265,1.6490140223849017,0.03453479840518627
26.0,2464,0.474025974025974,1.6793674812149082,0.03383182203501086
27.0,2681,0.45318910854158895,1.71433543465338,0.03310910147847185
28.0,2906,0.3282863041982106,1.7529728735157992,0.03251826685168271
29.0,2864,0.37011173184357543,1.772976166306004,0.033129615132747495
30.0,3142,0.4213876511775939,1.8367020149104765,0.03276691934020965
31.0,3144,0.38040712468193383,1.896211964709304,0.0338178204407032
32.0,3012,0.37782204515272244,1.8706101950163694,0.03408441254472466
33.0,2887,0.370973328714929,1.9033915425243582,0.03542458272672245
34.0,2731,0.4793116074697913,1.9190180931124783,0.03672131452171217
35.0,2557,0.4517012123582323,1.9300446672896632,0.03816822784246146
36.0,2476,0.4640549273021002,2.038002675281984,0.040957121794743104
37.0,2310,0.4645021645021645,2.0619035276711584,0.04290049978731248
38.0,2333,0.501071581654522,2.1100965446039868,0.04368626912880301
39.0,2301,0.529335071707953,2.122474958387611,0.0442470443525232
40.0,2217,0.38836265223274696,2.1336884130245597,0.045315643573629466
41.0,2342,0.4487617421007686,2.1571485332620255,0.04457451276357801
42.0,2289,0.5718654434250765,2.1304104440713516,0.04452873792979147
43.0,2293,0.49280418665503706,2.2213005078939454,0.046387961553052665
44.0,2308,0.5173310225303293,2.227454764679801,0.0463650775876819
45.0,2375,0.4105263157894737,2.282376054863699,0.04683336847215346
