,CONF,RATING,WINS,WINS_P10,WINS_P90,TITLE
OKC,West,6.2987840116418425,55.75345,43.0,67.0,0.18305
NYK,East,6.1751765017038345,55.52625,43.0,67.0,0.19565
SAS,West,5.1737580519811806,53.4109,41.0,65.0,0.1238
DEN,West,3.4988924472033895,48.9192,36.0,62.0,0.06025
CLE,East,3.0412560341778896,48.3048,35.0,61.0,0.05555
HOU,West,2.926220360687924,47.9939,35.0,61.0,0.04895
BOS,East,2.6033836022121286,47.36805,34.0,60.0,0.04835
TOR,East,2.340761100157848,46.54255,33.0,60.0,0.04115
PHI,East,2.0475093049457316,46.05405,33.0,59.0,0.035
MIN,West,1.7602577202213552,44.9298,32.0,58.0,0.02715
GSW,West,1.63197245623356,44.89095,32.0,58.0,0.02565
LAC,West,1.4050438605760256,44.39365,31.0,57.0,0.02445
DET,East,1.3249109360866935,44.1672,31.0,57.0,0.02465
LAL,West,1.0872897260550913,43.34055,30.0,57.0,0.01865
ORL,East,0.5533758414472382,42.48535,29.0,56.0,0.01615
CHA,East,0.5448595430562019,42.71095,29.0,56.0,0.01675
PHX,West,0.15800122050674625,41.3968,28.0,55.0,0.01295
MIA,East,0.03791124924728051,41.10385,28.0,54.0,0.0111
MIL,East,-0.6108755678559686,39.49295,26.0,53.0,0.0081
POR,West,-0.7369950703635048,39.0965,26.0,53.0,0.0065
ATL,East,-0.9477415385499023,38.6603,26.0,52.0,0.0069
IND,East,-1.5963296825947872,37.53915,24.0,51.0,0.00455
NOP,West,-2.573756860873384,34.7033,22.0,48.0,0.00155
UTA,West,-3.059819627524182,33.55665,21.0,47.0,0.00185
CHI,East,-4.190745498195927,30.88135,19.0,43.0,0.0004
DAL,West,-4.43886982388499,30.48385,18.0,43.0,0.0005
MEM,West,-4.996270360083983,28.9408,17.0,42.0,0.0002
BKN,East,-6.216583982354682,26.37885,15.0,39.0,0.0002
SAC,West,-6.437166663697396,25.80765,15.0,38.0,0.0
WAS,East,-6.804209292163254,25.1664,14.0,37.0,0.0
