TEAM_ABBREVIATION,N_SHOTS,EXPOSURE_PER_SHOT,PREMATURE,MEAN_SECOND,SEASON
ATL,6351,0.014526309100412464,0.12124074948826956,12.074476460399937,2015
BKN,6388,0.02607649143584345,0.23716343143393864,11.657326236693802,2015
BOS,6790,0.024231988195183542,0.19484536082474227,12.527245949926362,2015
CHA,6310,0.02614115420099117,0.2022187004754358,11.317274167987321,2015
CHI,6524,0.02865244803185396,0.2418761496014715,11.711679950950337,2015
CLE,6185,0.030314125291161786,0.2053354890864996,11.19498787388844,2015
DAL,6287,0.020575001538139893,0.18482583108000636,11.170510577381899,2015
DEN,6385,0.026459695060996487,0.20250587314017227,11.589193422083007,2015
DET,6378,0.041289906953685236,0.2464722483537159,11.603480714957668,2015
GSW,6626,0.04335191992226856,0.24705704799275582,12.33308179897374,2015
HOU,6158,0.01983970761703662,0.11724585904514452,12.388437804481974,2015
IND,6397,0.01950830824970227,0.19727997498827576,11.801469438799437,2015
LAC,6119,0.03349360844417247,0.26899820232064064,11.440594868442556,2015
LAL,6294,0.01460494137007629,0.10819828408007626,11.431045440101684,2015
MEM,6157,0.023998403890168534,0.20448270261490986,10.828650316712684,2015
MIA,6062,0.029003547926962355,0.24249422632794457,11.077862091718904,2015
MIL,6116,0.026370093447325858,0.1904839764551995,11.64241334205363,2015
MIN,6104,0.022572984460550744,0.17463958060288334,11.556520314547837,2015
NOP,6481,0.02344191665343253,0.19996914056472767,11.910044746181145,2015
NYK,6172,0.025490769120024764,0.241250810110175,11.076312378483474,2015
OKC,6477,0.03684892823297216,0.26015130461633473,12.097421645823683,2015
ORL,6523,0.032439719884736824,0.27012110991874905,11.606776023302162,2015
PHI,6212,0.023130131505467538,0.12347070186735351,11.75595621377978,2015
PHX,6379,0.01765310451112496,0.1218059256936824,12.293306160840258,2015
POR,6364,0.029573899914548608,0.1923318667504714,11.55578252671276,2015
SAC,6470,0.03598044469498612,0.2523956723338485,12.38933539412674,2015
SAS,6158,0.04605405287777712,0.31536213056187073,10.89688210457941,2015
TOR,5984,0.022929815407605803,0.17296122994652408,10.902239304812834,2015
UTA,5935,0.03537559361495836,0.23133951137320977,10.309519797809605,2015
WAS,6488,0.03105056685867655,0.25,12.563039457459926,2015
ATL,6330,0.0068768185634714915,0.07014218009478673,12.15260663507109,2016
BKN,6533,0.01120636939898724,0.084953313944589,12.503444053268025,2016
BOS,6400,0.01908275577493985,0.16859375,11.6528125,2016
CHA,6403,0.014727469688957717,0.15555208496017492,11.292519131657036,2016
