SHOT_ZONE_BASIC,CLOCK_BAND,N_ATTEMPTS,RETAIN_RATE,MISS_RATE,N_MISSES,ORB_RATE
Mid-Range,8-15,157619,0.1143961070683103,0.5753113520578104,90680,0.19884208204675782
Mid-Range,16-23,45701,0.12209798472681123,0.5649110522745673,25817,0.2161366541426192
Restricted Area,16-23,211780,0.1255264897535178,0.30750306922277837,65123,0.408212152388557
Mid-Range,4-7,59384,0.12639768287754277,0.5959012528627239,35387,0.21211179246615988
Above the Break 3,8-15,266602,0.1281685808808636,0.6340837653130884,169048,0.20213193885760258
Left Corner 3,8-15,45289,0.13868709841241803,0.606791936231756,27481,0.22855791273971107
Left Corner 3,4-7,15842,0.13893447796995329,0.6133695240499937,9717,0.22651023978594217
Above the Break 3,16-23,151647,0.13906638443226704,0.6315324404703028,95770,0.2202046569907069
Right Corner 3,8-15,41692,0.13947519907896,0.6092775592439796,25402,0.22891898275726322
Restricted Area,8-15,281083,0.1406381744893857,0.35974071715471945,101117,0.39094316484864067
Above the Break 3,4-7,81940,0.14504515499145718,0.6506346106907493,53313,0.2229287415827284
Right Corner 3,4-7,15089,0.1472595930810524,0.6117038902511763,9230,0.24073672806067173
Restricted Area,4-7,73652,0.14992125128984957,0.3814424591321349,28094,0.39303765928668044
Left Corner 3,16-23,22557,0.15117258500687147,0.6008777763000399,13554,0.25158624760218384
Right Corner 3,16-23,20395,0.15209610198578083,0.595636185339544,12148,0.25535067500823183
Restricted Area,24-24,12614,0.17322023148882196,0.4069288092595529,5133,0.42567699201246834
In The Paint (Non-RA),8-15,177508,0.17689906933771998,0.5642731595195709,100163,0.31349899663548414
In The Paint (Non-RA),4-7,66772,0.17800874618103396,0.5746570418738393,38371,0.30976518725078833
Restricted Area,0-3,38753,0.19051428276520527,0.4292312853198462,16634,0.44384994589395216
In The Paint (Non-RA),16-23,61696,0.19775998443983403,0.5535691130705394,34153,0.35724533715925394
Mid-Range,0-3,38927,0.20633493462121408,0.6471086906260437,25190,0.31885668916236604
Above the Break 3,24-24,628,0.2070063694267516,0.6671974522292994,419,0.31026252983293556
Left Corner 3,0-3,8940,0.20883668903803132,0.6519015659955257,5828,0.3203500343170899
Right Corner 3,0-3,8673,0.20996195088204772,0.6432606941081518,5579,0.3264025811077254
In The Paint (Non-RA),0-3,36591,0.22327894837528353,0.6201798256401847,22693,0.3600229145551492
Above the Break 3,0-3,55905,0.2925677488596727,0.71437259636884,39937,0.40954503342764853
In The Paint (Non-RA),24-24,1040,0.3384615384615385,0.7163461538461539,745,0.47248322147651006
