SECOND,BOUNDARY,N_SHOTS,V_CONT,GAP
1,0.7476259103580255,33139,0.5256584505748816,0.22196745978314392
2,0.8155697835035163,43217,0.5821415633032587,0.23342822020025755
3,0.8327109992622175,55508,0.6292372314524975,0.20347376780971993
4,0.7828539693366257,64496,0.6765396922480216,0.10631427708860408
5,0.7929768999379248,72970,0.7147077353867693,0.0782691645511554
6,0.7929768999379248,83293,0.7431482275523509,0.04982867238557387
7,0.8066903555044762,94115,0.7654237133048388,0.04126664219963738
8,0.8185161840696531,104436,0.7842305002052153,0.034285683864437755
9,0.8185161840696531,113163,0.8010920389682431,0.017424145101409994
10,0.8192745964899375,121670,0.8153150237679159,0.0039595727220216315
11,0.8192745964899375,127773,0.8290335193544948,-0.009758922864557262
12,0.8311252814872003,135283,0.8432925644899968,-0.012167283002796458
13,0.8311252814872003,132458,0.85819710661806,-0.027071825130859706
14,0.8423742381191822,138748,0.8692989608019148,-0.026924722682732605
15,0.8423742381191822,102395,0.8665397122213132,-0.02416547410213099
16,0.8497360110655983,94942,0.8703580438850461,-0.020622032819447855
17,0.8497360110655983,89337,0.8736737084964703,-0.02393769743087204
18,0.8530131178532401,89040,0.8791682742011614,-0.026155156347921316
19,0.8826375460473017,83328,0.8892661051585028,-0.006628559111201082
20,0.898421597592074,71404,0.9005695824111273,-0.002147984819053317
21,0.8983270732558385,47654,0.9101561276510287,-0.01182905439519022
22,0.8950499664681967,27209,0.9132246296323722,-0.018174663164175486
23,0.8700344996926583,14832,0.9113591227847386,-0.04132462309208029
