SEASON,treated_mean,control_mean,gap,relative_to_base
2015,0.09110334908567906,0.27785515320334264,-0.18675180411766357,-0.023080699988327846
2016,0.08204000507463949,0.2680975918576055,-0.18605758678296602,-0.022386482653630302
2017,0.07312657805726264,0.23679768218659836,-0.16367110412933572,0.0
2018,0.014117751848223033,0.21633898540171295,-0.20222123355348992,-0.0385501294241542
2019,0.013339736406808602,0.22162292706488487,-0.20828319065807627,-0.04461208652874055
2020,0.014338849657700393,0.22477510495102285,-0.21043625529332247,-0.046765151163986746
2021,0.015164392753299038,0.22986245216628953,-0.2146980594129905,-0.05102695528365478
2022,0.014409092943124356,0.22060249139644225,-0.20619339845331788,-0.04252229432398216
2023,0.012902373508300674,0.2197324658299143,-0.20683009232161362,-0.0431589881922779
2024,0.014321547050732259,0.2264285627865897,-0.21210701573585744,-0.04843591160652172
