SEASON,identical_clock_pct,after_rebound_identical_pct,after_off_rebound_identical_pct,n_off_rebound,after_def_rebound_identical_pct,n_def_rebound,arm_gap_pp
2015,32.26714472450393,15.060855908912446,26.710314071543788,31617,7.338375549460008,87131,19.37193852208378
2016,32.20794188708373,14.70651115281374,27.3989898989899,30888,6.927600147004777,87072,20.47138975198512
2017,29.922079308320438,18.73182174812373,41.55436471446238,31537,7.600487755764132,89389,33.953876958698245
2018,29.538584599117367,18.541552344369247,40.84507042253521,33228,7.243689825657039,92232,33.60138059687817
2019,29.855727135238396,18.631864794368813,41.937317887854455,28142,7.2281409569438315,79315,34.70917693091062
2020,29.057724226716402,18.08403241224661,41.48244005895251,27819,6.919824871727322,79713,34.56261518722519
2021,29.47123147890028,18.60696904808254,40.74141158002777,33126,7.385581746348826,90108,33.355829833678946
2022,30.225448721296633,18.77541637270212,41.13193943763518,33288,7.047458284384731,87677,34.08448115325045
2023,29.328565262963192,18.123326952253105,40.185295875672445,33460,6.623101175121811,87225,33.562194700550634
2024,28.912876941291177,17.826765509168943,37.509607993850885,35127,6.690434564007633,87513,30.819173429843254
