BAND,quantile,n_seconds,n_shots,boundary_slope,value_slope,relaxation_ratio,mean_gap
late,0.02,7,305929,0.004354993941250055,0.03940162347939304,0.11052828682370681,-0.06315681320000742
middle,0.02,8,665408,0.007244331891538372,0.0144245337026493,0.5022229515958518,-0.17078148034508717
early,0.02,8,360234,0.0163297742603594,0.008054376706229096,2.027441086500247,-0.18057471531009606
late,0.05,7,305929,0.02005907959397272,0.03940162347939304,0.509092718082126,0.08801452004113593
middle,0.05,8,665408,0.008393809962396874,0.0144245337026493,0.5819120489735633,-0.03233046210307715
early,0.05,8,360234,0.0063066786652577105,0.008054376706229096,0.7830126272068016,-0.045643855807764214
late,0.1,7,305929,0.019676414087617014,0.03940162347939304,0.4993807957661372,0.16283871142193365
middle,0.1,8,665408,0.005162327059057738,0.0144245337026493,0.35788519514565614,0.0415522803919909
early,0.1,8,360234,0.009386333585542684,0.008054376706229096,1.1653705715407474,0.02136642765729355
late,0.2,7,305929,0.01467076579744961,0.03940162347939304,0.37233911960816507,0.23469980594169157
middle,0.2,8,665408,0.007386706989972172,0.0144245337026493,0.5120932948158652,0.11824274641119248
early,0.2,8,360234,0.02214775682016505,0.008054376706229096,2.7497791111553562,0.15149306136391652
late,0.25,7,305929,0.013768112576272095,0.03940162347939304,0.3494300833434639,0.26077280628960847
middle,0.25,8,665408,0.013489753353396635,0.0144245337026493,0.9351951079651901,0.1558767884150651
early,0.25,8,360234,0.02096899220903965,0.008054376706229096,2.603428294187264,0.20231982676802884
