TEAM,BAND,quantile,n_seconds,n_shots,boundary_slope,value_slope,relaxation_ratio,mean_gap
ATL,late,0.05,7,9042,0.019410919674446418,0.039270725608945456,0.4942847215948772,0.11877973472266488
ATL,middle,0.05,8,23006,0.014051960321770371,0.017887074445711307,0.7855929914318402,0.017617788718689915
ATL,early,0.05,8,12397,0.009340484200549202,0.008603864294171105,1.0856150075352928,-0.025072425684215638
BKN,late,0.05,7,9670,0.01844956200788317,0.04099827495117268,0.4500082510753408,0.10368271173641022
BKN,middle,0.05,8,22574,0.010163029984557674,0.013368601253778542,0.760216404964967,-0.0138544930394175
BKN,early,0.05,8,12746,0.011079166674998281,0.00808170973300346,1.3708939124296977,-0.04349383245444568
BOS,late,0.05,7,10113,0.018739656324586643,0.038634443841837035,0.4850505005663772,0.087810717813885
BOS,middle,0.05,8,22934,0.00959611104486296,0.017104704825284374,0.5610217272313216,-0.038996059365190565
BOS,early,0.05,8,12113,0.0050425753039899015,0.007439318498784387,0.6778275866013638,-0.06453190481560964
CHA,late,0.05,7,10124,0.009156816303463,0.03881611882214077,0.23590241841077472,0.044528912295842694
CHA,middle,0.05,8,22464,0.006178745003335224,0.01539163525907156,0.4014352535864297,-0.053185402592945796
CHA,early,0.05,8,11357,0.0182621088598364,0.007852867266587052,2.325533876975018,-0.05812151039599537
CHI,late,0.05,7,10116,0.02101969851717857,0.04034159993004738,0.5210427586815317,0.09082278602785636
CHI,middle,0.05,8,22319,0.004960194294595109,0.015593546782517892,0.31809275745759397,-0.031240584451127575
CHI,early,0.05,8,11830,0.013812997396682288,0.007810861079496198,1.7684346522231615,-0.07095692983048847
CLE,late,0.05,7,11289,0.010400275663425945,0.038456024756459296,0.2704459373866784,0.08117336467958071
CLE,middle,0.05,8,20237,0.003593469914438753,0.010866986492187891,0.33067768300089845,-0.003453723605998821
CLE,early,0.05,8,10943,0.007499845118356203,0.007365470607088712,1.018243845972064,-0.03040067760275674
DAL,late,0.05,7,11358,0.020059569064483758,0.04270425794116823,0.46973229442644665,0.12614446664944187
DAL,middle,0.05,8,22775,0.0035733148273662785,0.014634416712552754,0.24417200203826692,-0.0030591244469181512
DAL,early,0.05,8,10055,0.013543944361183493,0.005851128704270996,2.3147575528969604,-0.03469735326445711
DEN,late,0.05,7,10737,0.01685473267914705,0.03347173608392416,0.5035511942639287,0.05641624656365193
DEN,middle,0.05,8,22213,0.0058834858800073135,0.01389031835607806,0.4235673891111967,-0.04884759003601313
DEN,early,0.05,8,11631,0.008795085145096575,0.006778748650377904,1.2974496619824167,-0.06613333560613609
DET,late,0.05,7,10802,0.005665720826503158,0.03817052319379648,0.1484318356795266,0.013291949691147555
DET,middle,0.05,8,21347,0.008781340650838366,0.012995426533037138,0.6757254660718007,-0.06933959872776524
DET,early,0.05,8,11214,0.0074453309719971945,0.007860517330363286,0.9471807845569749,-0.07914652169214242
GSW,late,0.05,7,8746,0.013978079261815813,0.03772747902385904,0.3705012797959813,0.07381455081667984
GSW,middle,0.05,8,22553,0.00951909604112837,0.018762594015921355,0.5073443487105653,-0.043481526964527506
GSW,early,0.05,8,13167,0.006970976375507992,0.009004777632100789,0.7741419788821241,-0.08564021383095663
HOU,late,0.05,7,9273,0.01849891225324976,0.03615609822607169,0.511640170285588,0.07791481655764905
HOU,middle,0.05,8,22042,0.007644085222974056,0.01301143828322689,0.5874896423117254,-0.015530984862337624
HOU,early,0.05,8,12869,0.005382874593731802,0.008023083659155331,0.6709234033212749,-0.013719426493075827
IND,late,0.05,7,9842,0.013375879222921392,0.037101716834623495,0.3605191447755043,0.09337420432123457
IND,middle,0.05,8,23187,0.009920605389065824,0.015601827321571395,0.6358617605868128,-0.014191760150545215
IND,early,0.05,8,11816,0.008354250246709112,0.008566785829196536,0.9751907440287488,-0.036384324705238294
LAC,late,0.05,7,10168,0.019771601914922627,0.04663057605508768,0.42400509681813003,0.09643185734785094
LAC,middle,0.05,8,21635,0.0035191833050958635,0.01167824239853727,0.30134528681616085,-0.02002367201962197
LAC,early,0.05,8,11941,0.007941774664974227,0.006131743648190963,1.2951902624496172,-0.04369890689535169
LAL,late,0.05,7,10066,0.013707989027607956,0.04030349134030999,0.34011914530833104,0.1090131613008338
LAL,middle,0.05,8,21266,0.009137928490888613,0.012831516435378701,0.7121471991957061,0.0034181268143064192
LAL,early,0.05,8,13282,0.01340596214335567,0.01004085886581737,1.3351409797217944,-0.019855471578071684
MEM,late,0.05,7,11230,0.02158231722834582,0.03869605553130004,0.5577394628992238,0.09401950218564217
MEM,middle,0.05,8,21823,0.007307649474719789,0.012300613451925459,0.5940882138342374,-0.0076546275583730256
MEM,early,0.05,8,11455,0.01092852869189261,0.008751896723030441,1.2487040281376272,-0.0010740814072174117
MIA,late,0.05,7,11208,0.026689881646327445,0.041171989957572076,0.6482533798786867,0.06162316145121164
MIA,middle,0.05,8,21429,0.008066345443591446,0.013139314415773873,0.613909157536235,-0.04137337846744805
MIA,early,0.05,8,10436,0.0038867546341107527,0.005837618152349629,0.6658117288035262,-0.07087852202948561
MIL,late,0.05,7,9317,0.02288356957623699,0.041750445879646575,0.5481035973173349,0.0843411422807841
MIL,middle,0.05,8,21951,0.0065496108150137336,0.01548330649370541,0.42301111960009413,-0.025154218195370625
MIL,early,0.05,8,13414,0.009365447345959009,0.009489340457344713,0.9869439702429675,-0.04833740123379741
MIN,late,0.05,7,9968,0.017757812060389983,0.036181273266659965,0.49080119236028413,0.09051070412699844
MIN,middle,0.05,8,22919,0.010096900943573624,0.01506735230149425,0.6701177978411178,-0.008662283553139685
MIN,early,0.05,8,11583,0.010036333522584394,0.007862994538556272,1.2764009275818686,-0.047564339598476495
NOP,late,0.05,7,8898,0.0037425080371377164,0.0381448529245419,0.09811305458540215,0.049205282632440624
NOP,middle,0.05,8,23542,0.009147642029324278,0.015825992290605263,0.5780138054758542,-0.030366254100018777
NOP,early,0.05,8,13201,0.013439424701660896,0.009652091753221854,1.3923846815043832,-0.0647865740899968
NYK,late,0.05,7,10901,0.021730289872699312,0.04081595107935076,0.5323969991646944,0.06949050734334723
NYK,middle,0.05,8,21987,0.004727211775194637,0.013004469490289435,0.3635066988872166,-0.023121331291481185
NYK,early,0.05,8,10897,0.0037199228734698534,0.006280835045501426,0.5922656536146741,-0.04135449599304347
OKC,late,0.05,7,9176,0.017793896904407216,0.03867006567284279,0.4601465395726884,0.10348859367230853
OKC,middle,0.05,8,22451,0.009517969040087195,0.014003714162480942,0.6796746155807682,-0.011267235292590619
OKC,early,0.05,8,13595,0.009948477921784927,0.009210225002744475,1.0801557962829862,-0.013907771433740423
ORL,late,0.05,7,10508,0.02268409677122628,0.03818214507635889,0.5941022099691177,0.12011196468474579
ORL,middle,0.05,8,22772,0.005579562601711872,0.01610787353946799,0.34638728619520526,-0.008801354879924984
ORL,early,0.05,8,11720,0.012641949128240806,0.008744739869136499,1.4456632578470443,-0.04687222974958241
PHI,late,0.05,7,10117,0.017332488244886833,0.03790781291181618,0.4572273342491926,0.0784992507194063
