SECOND,BOUNDARY,N_SHOTS,V_CONT,GAP
1,0.4258373205741626,32868,0.3606104435543688,0.06522687701979385
2,0.5355850422195418,42820,0.41488787520022286,0.12069716701931898
3,0.5355850422195418,55152,0.4647477430780528,0.07083729914148906
4,0.539159109645507,64055,0.5162343156018635,0.02292479404364345
5,0.5763888888888888,72631,0.5600025954387984,0.01638629345009046
6,0.5920000000000001,82929,0.5934490930394412,-0.001449093039441074
7,0.615923009623797,93752,0.6209223110179484,-0.00499930139415139
8,0.6413130504403521,104069,0.6449414363356294,-0.003628385895277253
9,0.6413130504403521,112946,0.6662395705558727,-0.024926520115520545
10,0.6435079726651481,121400,0.6843703503453513,-0.04086237768020318
11,0.6552818497808676,127495,0.7018919256431299,-0.04661007586226229
12,0.6552818497808676,135007,0.7193687210779262,-0.06408687129705859
13,0.6552818497808676,132131,0.7371551133776206,-0.08187326359675307
14,0.7008944982232569,138440,0.7506693377651559,-0.049774839541898985
15,0.6552818497808676,102218,0.7511735737119488,-0.09589172393108125
16,0.6552818497808676,94863,0.7565500605947609,-0.10126821081389337
17,0.6552818497808676,89284,0.7610805299708863,-0.1057986801900187
18,0.7008944982232569,89070,0.7677442891241184,-0.06684979090086152
19,0.7373971735920691,83411,0.7794658742514019,-0.04206870065933277
20,0.7421595145843995,71493,0.7926500961130271,-0.05049058152862751
21,0.7421595145843995,47726,0.8041426385674776,-0.06198312398307804
22,0.7421595145843995,27266,0.8087464067159909,-0.0665868921315913
23,0.7274301796925744,14879,0.8078300350331418,-0.08039985534056737
