SECOND,V_CONT,N_CONTINUED,N_LIVE,P_TERMINATE
1,0.3622121000624472,54446,116437,0.532399495005883
2,0.41584867252057206,115934,187144,0.3805091266618219
3,0.4659175428739599,186885,268889,0.3049734276969307
4,0.517282145760765,268138,358063,0.25114295528999087
5,0.5608148407420371,357125,458351,0.22084821457791082
6,0.5940937371474575,457108,569609,0.19750565738954265
7,0.6215288836647035,568297,693442,0.1804693110599012
8,0.6455540525698166,691956,829080,0.16539296569691705
9,0.6669087780064609,827443,975054,0.15138751289672162
10,0.6850543112543932,973371,1127069,0.13636964551416106
11,0.7026632424554793,1125320,1283695,0.12337432178204324
12,0.7202551127468226,1281943,1444094,0.11228562683592619
13,0.7380869512162992,1442326,1604794,0.10123916216037697
14,0.7517808096125979,1603063,1781869,0.10034744417238305
15,0.7526032015269533,1600049,1734275,0.07739603004137176
16,0.7581568792649208,1718672,1843164,0.0675425518293543
17,0.7627799310585499,1828218,1939339,0.05729838878091968
18,0.7694922752666776,1925827,2027452,0.05012449123333129
19,0.7812137367579477,2015643,2107567,0.04361616973505469
20,0.7944082131247121,2097326,2179768,0.03782145622836926
21,0.8059256284073468,2171044,2235742,0.028938043835111563
22,0.81058171424417,2228259,2274658,0.020398231294550654
23,0.8097437104921549,2267904,2303585,0.01548933510159165
24,0.8055032969712275,2296805,2460836,0.06665661588175725
