cut,n_chances,ratio_min,ratio_max,excess_late_demand
all games,2858943,0.5365261522859671,0.6961992722078303,0.15236733985095302
competitive (|margin| <= 10),1979988,0.5855487926319218,0.7312974907313123,0.1394333215438514
blowouts (|margin| > 10),878955,0.46446749334709536,0.5873658104652761,0.17899353348429908
season 2015-16,285163,0.5179270880665194,0.715956631346858,0.08207209925431148
season 2016-17,284960,0.6471561844918196,0.9519612978912012,0.0623384801040346
season 2017-18,291085,0.5167246478072058,0.7315757647614669,0.1867649471666536
season 2018-19,301394,0.4333347007941724,0.6954080158778523,0.17530979920270942
season 2019-20,258878,0.6248531511209162,0.9249398875870152,0.08478819707502987
season 2020-21,258375,0.4328793313082944,0.6631841071951299,0.1826878174118478
season 2021-22,294381,0.41803255497839714,0.700213327255259,0.187159431416628
season 2022-23,296978,0.528325124819535,0.7561823732288508,0.18894941266001522
season 2023-24,293059,0.5272119110678984,0.6843806215056207,0.1838557605211262
season 2024-25,294670,0.5910871671551757,0.7564331404437391,0.17234763671664227
