TEAM,n_chances,n_shots,relaxation_ratio,excess_late_demand,SHRUNK
PHI,95017,64924,0.4094905091983879,0.1886323998189388,0.519967970896334
SAC,95589,66252,0.43990635592953903,0.1862268983800754,0.5311924605462294
NOP,96388,66892,0.4645768796739803,0.1641108956753618,0.5402967291491932
BKN,95472,65801,0.4785569516508724,0.16400992014929325,0.5454558547391019
MIA,92991,63769,0.4812101802285504,0.14950648528471255,0.5464349869977627
DAL,94452,65260,0.4868053934311115,0.18046156806985034,0.5484998123907965
CLE,92925,63889,0.4937268096485646,0.1389661465643095,0.5510540521389818
DET,94448,65031,0.5076055951979491,0.144917655886423,0.5561757995665371
CHI,93644,65944,0.5355287170307055,0.1710373494684016,0.5664803883151233
MIN,95358,65443,0.546669733055329,0.1559090530714275,0.5705918049777287
ATL,97012,66804,0.563186565299144,0.13349351121589972,0.5766870820288156
LAC,94588,64565,0.576395402853463,0.172909342787521,0.5815615956902668
WAS,96727,66847,0.5803280997793825,0.19850010397759288,0.5830128956107109
NYK,93710,65405,0.5835067661425645,0.13940819680961808,0.5841859324164713
UTA,94944,64650,0.5843797136406959,0.12167049529943381,0.584508079955032
GSW,95531,66159,0.5862339941169795,0.16500588394294508,0.5851923729881348
BOS,95059,66675,0.5862552646806743,0.15776874376050898,0.5852002225549789
PHX,96402,66151,0.5890185384085521,0.16534352825947787,0.5862199652447863
POR,96261,66767,0.589248270606924,0.16153753197785806,0.586304744297813
LAL,96207,65836,0.602712890014755,0.16930710892948916,0.5912736502276352
ORL,94434,65656,0.6213234841940475,0.1875256367168066,0.5981415971761557
SAS,94739,66798,0.6216583200800757,0.15621842745713005,0.5982651630913299
OKC,97183,67412,0.6245142547307776,0.1646158409957604,0.5993191008367076
DEN,95389,65885,0.6345435506688286,0.12545789800766427,0.603020254694019
HOU,96800,66091,0.6393341045129316,0.12060875006934135,0.6047881332119407
IND,95572,66807,0.6702084393697056,0.13103690374240812,0.6161818206903938
MIL,95213,65923,0.6750760490448571,0.16953755425872602,0.6179781354503084
MEM,96664,66737,0.6972635446356487,0.12133901886242146,0.6261660815830353
CHA,94072,65486,0.8281405311100594,0.12410397555753616,0.6744641741226387
TOR,95121,66061,0.8400898260575567,0.08048333362109826,0.6788738734036508
