SEASON,TEAM_ABBREVIATION,TEAM_ID,OVERLAP,PRIOR_QUALITY,TEAM_FGA,TEAM_PTS_FG,TEAM_XPTS,N_CORE,FGA,FTA,TOV,ORB,FGM,FTM,POSS,ORTG_FG,PTS_PER_FGA,PTS_VS_XPTS
2016,ATL,,0.9002281522230506,1.060745058869687,6615,6706,7074.689336431148,8,6830,2003,1334,1019,3078,1462,8026.32,83.55012010485503,1.0137566137566139,-0.05573534942269813
2016,BKN,,0.9431022429905472,1.0254115097690992,6762,6887,6929.4301921831975,8,6895,1985,1300,917,3060,1566,8151.4,84.48855411340384,1.018485655131618,-0.0062747991989348575
2016,BOS,,0.9567824215349472,0.9742120687325634,6652,7016,6956.580158030351,8,6872,1895,1121,884,3130,1534,7942.8,88.33157073072468,1.0547203848466626,0.008932628077217166
2016,CHA,,0.886252954973861,1.0292228280311395,6643,6695,6694.462174418037,8,6887,1919,971,849,3035,1557,7853.36,85.2501349740748,1.0078277886497065,8.096124973103438e-05
2016,CHI,,0.8895860874383317,1.000731628186464,6713,6600,6578.018036135152,8,7045,1817,1070,1074,3128,1435,7840.48,84.17851968246842,0.9831669894235067,0.003274536550699804
2016,CLE,,0.8914560761755935,1.0567626786387028,6553,7257,7116.261360427989,8,6849,1836,1089,931,3221,1377,7814.84,92.86178603784595,1.10743171066687,0.021476978417825632
2016,DAL,,0.9214732969185265,1.0444850178707308,6401,6488,6533.313776214309,8,6641,1529,1047,749,2922,1224,7611.76,85.23652873973955,1.0135916263083893,-0.007079171412952468
2016,DEN,,0.9604823286228853,0.9810385898642525,6798,7292,6987.652957331307,8,7081,1949,1142,1078,3337,1506,8002.56,91.12084133077416,1.0726684318917328,0.0447700857117818
2016,DET,,0.9032398206656487,0.9905496341834532,6953,6893,6736.711028562564,8,7196,1588,969,1095,3233,1159,7768.72,88.7276153600593,0.9913706313821372,0.022477919090671074
2016,GSW,,0.8884368206937613,1.1458831069343447,6775,7667,7576.481114231745,8,7040,1843,1155,910,3484,1442,8095.92,94.70202274726034,1.131660516605166,0.013360721146605924
2016,HOU,,0.8503998324663907,1.0590566830864652,6795,7463,7503.8470798186445,8,7044,2113,1306,1024,3260,1614,8255.72,90.39793016236017,1.0983075791022812,-0.0060113436083362014
2016,IND,,0.9034819578654405,0.9976801438319269,6577,6801,6382.011838756938,8,6824,1785,1154,858,3175,1440,7905.4,86.02980241354011,1.0340580811920328,0.06370505720587832
