estimator,outcome,threshold,n_below,n_above,mean_below,mean_above,difference,std_error,t,n_games
raw difference,CLOCK_USED,28.0,12191.0,58082,14.561643835616438,11.092972005096243,-3.4686718305204516,0.08282771777534728,-41.878152914082364,8286
local linear,CLOCK_USED,28.0,,38001,,,-0.3925146522682592,0.20583726410298867,-1.9069173600746478,8277
raw difference,NET_REST,28.0,12191.0,58082,0.46181609383971783,0.4514135188182225,-0.010402575021496111,0.016576627779706792,-0.6275447069054061,8286
local linear,NET_REST,28.0,,38001,,,-0.03934800943259714,0.04197027884659039,-0.9375208007652711,8277
raw difference,CLOCK_USED,29.0,15824.0,54449,14.500315975733063,10.879354992745505,-3.6209609829871847,0.07359980921331886,-49.197966974239435,8286
local linear,CLOCK_USED,29.0,,41228,,,-0.6037612290740737,0.17586382240605355,-3.4331178568383667,8283
raw difference,NET_REST,29.0,15824.0,54449,0.4368680485338726,0.4579698433396389,0.021101794805764285,0.015231723699296693,1.3853845580680166,8286
local linear,NET_REST,29.0,,41228,,,0.05037845829332558,0.037525078000977846,1.3425277435003011,8283
raw difference,CLOCK_USED,30.0,19450.0,50823,14.356658097686376,10.675993152706452,-3.6806649449808697,0.06727095755325233,-54.714026362226534,8286
local linear,CLOCK_USED,30.0,,44349,,,-0.6684765988509681,0.15957592277961513,-4.189081831437556,8285
raw difference,NET_REST,30.0,19450.0,50823,0.4297686375321337,0.4621923145032761,0.03242367697115077,0.014436671704900532,2.24592465866939,8286
local linear,NET_REST,30.0,,44349,,,0.06068424524875304,0.03469179524501676,1.7492391160549672,8285
raw difference,CLOCK_USED,31.0,23382.0,46891,14.186339919596271,10.452282954085005,-3.734056965510279,0.062040460310294636,-60.1874477854361,8286
local linear,CLOCK_USED,31.0,,44508,,,-0.6697295720916178,0.15549497947208898,-4.30708164575714,8283
raw difference,NET_REST,31.0,23382.0,46891,0.43426567445043196,0.46266874240259326,0.02840306795215403,0.014056692074190094,2.0206082485299466,8286
local linear,NET_REST,31.0,,44508,,,-0.02870532221409336,0.035021437826909495,-0.8196500199668271,8283
raw difference,CLOCK_USED,32.0,27312.0,42961,13.957564440538958,10.256139289122693,-3.70142515141512,0.05841774726707579,-63.36131269309046,8286
local linear,CLOCK_USED,32.0,,44539,,,-0.590627655634789,0.15097429695998854,-3.9121073422936234,8284
raw difference,NET_REST,32.0,27312.0,42961,0.4282732864674868,0.46907660436209586,0.04080331789459647,0.014119783010923169,2.889797800931553,8286
local linear,NET_REST,32.0,,44539,,,0.008077722498960861,0.0360581346531669,0.22401942243153208,8284
raw difference,CLOCK_USED,33.0,31037.0,39236,13.734284885781486,10.081353858701192,-3.6529310270803923,0.0556889889166383,-65.59521187480205,8286
local linear,CLOCK_USED,33.0,,44244,,,-0.6955790208723294,0.1469127163793333,-4.734641343614682,8285
raw difference,NET_REST,33.0,31037.0,39236,0.4233012211231756,0.4768834743602814,0.05358225323710725,0.014072828438036691,3.807497083690913,8286
local linear,NET_REST,33.0,,44244,,,0.04218704276755799,0.03663157825123375,1.1516577985863095,8285
raw difference,CLOCK_USED,34.0,34616.0,35657,13.478044834758494,9.963457385646578,-3.514587449112077,0.05423824909163856,-64.79905800745863,8286
local linear,CLOCK_USED,34.0,,43640,,,-0.49299560381909124,0.1467462651458668,-3.359510399321238,8282
raw difference,NET_REST,34.0,34616.0,35657,0.4211058470071643,0.484392966317974,0.06328711931081259,0.01437808721663869,4.401636904634652,8286
local linear,NET_REST,34.0,,43640,,,0.07934670458259165,0.03780151688283292,2.0990349363103453,8282
raw difference,CLOCK_USED,35.0,38001.0,32272,13.2347306649825,9.8813212692117,-3.353409395771527,0.05276860598691312,-63.549326972995836,8286
local linear,CLOCK_USED,35.0,,42919,,,-0.3962747937301659,0.14529993987335188,-2.727288077858613,8276
raw difference,NET_REST,35.0,38001.0,32272,0.42704139364753557,0.4840418939018344,0.05700050025431124,0.014608051554495986,3.901991996788096,8286
local linear,NET_REST,35.0,,42919,,,0.04446397303979254,0.03987327448569406,1.115132218592821,8276
raw difference,CLOCK_USED,36.0,41228.0,29045,12.986319976714855,9.86135307281804,-3.1249669038959906,0.052231809335338435,-59.82880822360742,8286
local linear,CLOCK_USED,36.0,,42159,,,-0.006402252745969696,0.14178735181491722,-0.04515390593038868,8276
raw difference,NET_REST,36.0,41228.0,29045,0.4324730765499175,0.48266483043553104,0.050191753885600474,0.015003160219710756,3.345412109887347,8286
local linear,NET_REST,36.0,,42159,,,-0.016798005082542776,0.041243719110071686,-0.40728638069016226,8276
