SECOND,V,SD,N,GROUP,SE
1,0.5950491011200703,1.0305983055241723,31873,half_court,0.00577268623415684
2,0.6357323603836874,1.0541721056684499,67972,half_court,0.004043398036350163
3,0.6775487403961502,1.0766581310695005,109201,half_court,0.0032581008029651725
4,0.7196796996226126,1.0960768784175554,156603,half_court,0.002769752593731202
5,0.7544741469772256,1.111301183216071,208699,half_court,0.0024326049867349187
6,0.7811643065857496,1.1217015652762095,266940,half_court,0.002171053360991604
7,0.8021539231741264,1.1290660303698477,331581,half_court,0.0019607603796801616
8,0.8205030922517643,1.1350241000601557,403266,half_court,0.0017873486609759034
9,0.8377647308128592,1.1412144286548296,481338,half_court,0.001644910145879809
10,0.8526437701660746,1.1468500890611493,564686,half_court,0.0015261708082086837
11,0.8659664923910573,1.1509376946511292,651076,half_court,0.0014263823972947742
12,0.8784120617702937,1.1547762944807032,738996,half_court,0.001343311758063314
13,0.8898245852053653,1.1583414312824782,825529,half_court,0.0012748832736830164
14,0.8987575271835562,1.1609014432499833,910201,half_court,0.0012168210021308397
15,0.9051691875635981,1.162741186520994,969959,half_court,0.001180609756071596
16,0.9113697240687728,1.1649235407685388,1043086,half_court,0.0011406104951002618
17,0.9168225680288661,1.166987855816654,1109676,half_court,0.0011078175475744583
18,0.9238073195924893,1.1695438426739937,1166595,half_court,0.0010828204556804274
19,0.9333127683727358,1.172631862657876,1215660,half_court,0.0010635444048021068
20,0.9409743591378854,1.174980827079603,1254404,half_court,0.0010490883515259287
21,0.9465794426553736,1.1764477589824527,1285273,half_court,0.001037707497662016
22,0.9484829996880677,1.1767609126359255,1307976,half_court,0.0010289359630223367
23,0.9475824525519417,1.1763436524832869,1322973,half_court,0.0010227246484684337
24,0.9452341017852128,1.1755260886625656,1331942,half_court,0.0010185670316530055
1,0.5813882063882064,1.019989476965556,3256,live_ball,0.017875306333352735
2,0.637139009426904,1.0490130263829605,6683,live_ball,0.01283202362816193
3,0.6804152902312411,1.071094028394851,10595,live_ball,0.010405839367229545
4,0.7264163372859025,1.0937601001951909,15180,live_ball,0.00887740821407953
5,0.7615050509979991,1.1070005549277768,20491,live_ball,0.007733324995456665
6,0.7813367339284375,1.1145217369703102,26662,live_ball,0.006825621175028598
7,0.7971477160843751,1.1200178074734766,33517,live_ball,0.006117758907046294
8,0.8112773023684274,1.126300393742254,41251,live_ball,0.005545452573054171
9,0.8234518314249745,1.1299165902631898,50043,live_ball,0.005050969159489371
10,0.8385295252150872,1.1355145334930055,59627,live_ball,0.004650195563410961
11,0.8532384606574276,1.1409125716417112,69848,live_ball,0.004316933692596197
12,0.8689664592879583,1.145504814278469,80529,live_ball,0.0040366469365885616
13,0.881993484772295,1.1495663912141578,91478,live_ball,0.003800806216780579
14,0.894191743846026,1.1534502742746033,102251,live_ball,0.003607157410381771
15,0.9024961343052794,1.1573313309750355,113175,live_ball,0.003440190235281727
16,0.9053443233182664,1.1597112854020073,124113,live_ball,0.0032918591661289954
17,0.9106224993158942,1.1631631452135875,135213,live_ball,0.0031632346466313973
18,0.9209921753382572,1.1675114201928989,145821,live_ball,0.003057391834022161
19,0.9562974203338391,1.1750259859356391,158160,live_ball,0.002954603058591675
20,0.9994077274152527,1.1771794027241937,172218,live_ball,0.0028366345214240053
21,1.0332925218804634,1.173562044337546,187039,live_ball,0.0027135633757209895
22,1.0409474045924967,1.1682487674539672,197888,live_ball,0.0026261867260829828
23,1.0366978780205327,1.1656579581031623,203772,live_ball,0.002582253525313299
24,1.031975344312819,1.164854691321433,207660,live_ball,0.0025562029296545778
1,0.4996857322438718,0.9535599775228667,1591,second_chance,0.023906330811750177
2,0.5543082524271845,0.9864451316822368,3296,second_chance,0.017182222250756413
3,0.6220270764727406,1.035429815150675,5466,second_chance,0.01400508834209871
4,0.6891875529725149,1.0769129008595986,8259,second_chance,0.01184995896829558
5,0.7383798140770252,1.100650690179173,11295,second_chance,0.010356342210186581
6,0.7695112071293546,1.1152332825624944,14812,second_chance,0.009163446954914865
7,0.7886510543604959,1.1231566683224576,18874,second_chance,0.008175387836764022
8,0.7997294212150678,1.125821913869003,23653,second_chance,0.007320261271092619
9,0.807920059215396,1.1312152371932904,29722,second_chance,0.006561546809747997
10,0.8162788803518584,1.1348786661414874,36833,second_chance,0.005913313246845583
11,0.8349536261034752,1.1447621344088572,44745,second_chance,0.005411815715961846
12,0.8763357079252003,1.1610532747338138,53904,second_chance,0.005000824929667479
13,0.9439100372312135,1.181367435945929,65805,second_chance,0.004605274787160953
14,0.9767249690125327,1.17817753871206,79871,second_chance,0.004168849125983618
15,0.9031259889588241,1.1560819597065577,28439,second_chance,0.006855378902276011
16,0.9046424940698068,1.15494014809487,29510,second_chance,0.006723182090393125
17,0.9073132577238952,1.1544991675615712,30684,second_chance,0.006590792473412903
18,0.902820746132848,1.1534649065423788,32970,second_chance,0.006352503490375474
19,0.9043848632119259,1.156895407568782,36626,second_chance,0.006045042402855115
20,0.913670613562971,1.1644455064895456,41805,second_chance,0.00569514853556015
21,0.9306558738065588,1.1710912900604307,48180,second_chance,0.0053352816782673285
22,0.9596482339316734,1.1745420320556315,55264,second_chance,0.004996287317794387
23,0.9902328133573725,1.1727771714115376,63785,second_chance,0.004643615195945413
24,1.004468894322195,1.1622800325501097,73620,second_chance,0.00428363906333083
