TEAM_ABBREVIATION,N_SHOTS,PREMATURE,SE
ATL,44445,0.058274271571605356,0.001111192213186994
DAL,44188,0.06024259980085091,0.0011318986902228297
ORL,45000,0.06171111111111111,0.0011343412172959756
LAL,44614,0.06394853633388622,0.001158322750165084
HOU,44184,0.06463878326996197,0.0011697788115826908
OKC,45222,0.06837380036265535,0.0011868363074738677
PHX,45078,0.06839256400017747,0.0011888815744836607
MEM,44508,0.06967286779904736,0.0012067870669582178
BKN,44990,0.0699044232051567,0.0012021485065575
POR,45412,0.0704659561349423,0.0012009834152017233
PHI,43975,0.0714269471290506,0.0012281068627115993
TOR,43961,0.07463433497873115,0.0012534073667776597
CLE,42469,0.07591419623725541,0.0012852322978929242
MIN,44470,0.07982909826849562,0.0012852313036544386
IND,44845,0.08105697402163006,0.0012887909338698182
SAS,44694,0.08236004832863472,0.0013003786806597933
MIL,44682,0.0823821673156976,0.001300712239634824
NYK,43785,0.08253968253968254,0.0013151108612973032
LAC,43744,0.08316569129480615,0.001320256404085192
UTA,42885,0.08413198087909525,0.0013404304876894087
NOP,45641,0.08687364431103613,0.0013183535214163703
WAS,45313,0.08807626950323307,0.0013313655234174111
DET,43363,0.09111454465788806,0.001381938674689871
CHI,44265,0.09117813170676607,0.0013682154636040905
BOS,45160,0.0912533215234721,0.0013550920339971135
CHA,43945,0.09156900671293662,0.0013758322606456132
SAC,44613,0.09192387869006792,0.001367869242131662
MIA,43073,0.09876256587653519,0.0014375178062772005
GSW,44466,0.10133585211172581,0.0014310876636215006
DEN,44581,0.10517933648863866,0.0014529755713402627
