TEAM_ABBREVIATION,CLOCK_PHASE,N_SHOTS,PREMATURE,EXPOSURE_PER_SHOT,MEAN_GAP
ATL,late (0–7),9042,0.027095775270957752,0.003192459944566743,-0.4728400077869858
ATL,middle (8–15),23006,0.057637138137877075,0.0063563724666382574,-0.3749866336346335
ATL,early (16–23),12397,0.08219730579979027,0.008426671551934866,-0.3992257213179846
BKN,late (0–7),9670,0.025749741468459153,0.002893638365099832,-0.4644420016481577
BKN,middle (8–15),22574,0.07774430761052538,0.008260990910928854,-0.3517261024218106
BKN,early (16–23),12746,0.08951828024478267,0.009371661923663904,-0.38211909477632766
BOS,late (0–7),10113,0.03193908830218531,0.003672546486985827,-0.4321473498704538
BOS,middle (8–15),22934,0.10255515828028255,0.010729370848171412,-0.3072501810675375
BOS,early (16–23),12113,0.11937587715677371,0.012531350218662068,-0.3504934918890864
CHA,late (0–7),10124,0.039905175819834056,0.004206411471988896,-0.42547540500860287
CHA,middle (8–15),22464,0.10608084045584046,0.010816674912136323,-0.31428444866909905
CHA,early (16–23),11357,0.10891960905168618,0.01048119149751494,-0.3585388003681972
CHI,late (0–7),10116,0.033610122578094107,0.0037765171664173778,-0.41637877991685585
CHI,middle (8–15),22319,0.10099018773242528,0.009524002170939513,-0.3160662033932811
CHI,early (16–23),11830,0.12189349112426036,0.012378689856228373,-0.3607968386786335
CLE,late (0–7),11289,0.03472406767649925,0.0035509214416645173,-0.4177767201945155
CLE,middle (8–15),20237,0.09042842318525474,0.00844065770051402,-0.3330086249150951
CLE,early (16–23),10943,0.091565384263913,0.009429221294885402,-0.3954443443850533
DAL,late (0–7),11358,0.020690262370135586,0.0024534085288147084,-0.45062418809153776
DAL,middle (8–15),22775,0.07130625686059276,0.007081474875698755,-0.3463018694584352
DAL,early (16–23),10055,0.07986076578816509,0.007894811784960837,-0.3755570695978141
DEN,late (0–7),10737,0.043773866070597,0.004882228652038685,-0.39639503201661674
DEN,middle (8–15),22213,0.1222707423580786,0.013596547285398178,-0.29392587090354255
DEN,early (16–23),11631,0.1292236265153469,0.01443069526400341,-0.34293278018339285
DET,late (0–7),10802,0.04610257359748195,0.004801039766051833,-0.4088909669868443
DET,middle (8–15),21347,0.10334004778188972,0.011559950534660189,-0.3084617800606595
DET,early (16–23),11214,0.11120028535758873,0.012841578001024954,-0.3510161168073715
GSW,late (0–7),8746,0.032471987194145895,0.0035687168697863783,-0.42625449258828635
GSW,middle (8–15),22553,0.11129339777413204,0.011199440450735156,-0.3251008896735251
GSW,early (16–23),13167,0.13002202475886687,0.01407262629385359,-0.3489143737054402
HOU,late (0–7),9273,0.03720478809446781,0.004786607405542618,-0.4550194319183501
HOU,middle (8–15),22042,0.07113692042464387,0.009177724634954362,-0.3609729742237469
HOU,early (16–23),12869,0.0732768668894242,0.008584117568035196,-0.4021813425790372
IND,late (0–7),9842,0.03048160942897785,0.003387072260626933,-0.4202204307113281
IND,middle (8–15),23187,0.09250873334195886,0.00806777653826506,-0.31628137954395275
IND,early (16–23),11816,0.10071090047393365,0.009672305725528303,-0.38403187016246215
LAC,late (0–7),10168,0.026258851298190403,0.0030998170291240273,-0.4255861980194893
LAC,middle (8–15),21635,0.09983822509822048,0.008320825203896473,-0.31033696936258026
LAC,early (16–23),11941,0.10141529185160372,0.009188296370775065,-0.3703507085131177
LAL,late (0–7),10066,0.03129346314325452,0.0035897275009811177,-0.4383781516443252
LAL,middle (8–15),21266,0.07048810307533152,0.007563368987559962,-0.3492908752089518
LAL,early (16–23),13282,0.07822617075741606,0.007340777077937056,-0.4193267715405914
MEM,late (0–7),11230,0.03446126447016919,0.0038340943936339797,-0.410910267739438
MEM,middle (8–15),21823,0.0854144709709939,0.00830855656982455,-0.3267136535759332
MEM,early (16–23),11455,0.07420340462680053,0.007240776542102457,-0.42111942348859766
MIA,late (0–7),11208,0.038811563169164884,0.004624818513702315,-0.418307071364966
MIA,middle (8–15),21429,0.11862429418078305,0.011543877174729709,-0.3185766809488765
MIA,early (16–23),10436,0.12236489076274434,0.01294943887916231,-0.3582144925239003
MIL,late (0–7),9317,0.028442631748416873,0.0035641557097111794,-0.45409481515924505
MIL,middle (8–15),21951,0.09480205913170243,0.0100536004275415,-0.3359214143529607
MIL,early (16–23),13414,0.09952288653645446,0.009974138969083208,-0.3924422688723588
MIN,late (0–7),9968,0.03441011235955056,0.003957822639655839,-0.4130453606681859
MIN,middle (8–15),22919,0.08713294646363279,0.008123482204818695,-0.33610354476156207
MIN,early (16–23),11583,0.10446343779677113,0.010897895461675737,-0.39365303654021216
NOP,late (0–7),8898,0.03573836817262306,0.003929893135601519,-0.4292993453354563
NOP,middle (8–15),23542,0.09073145866961176,0.009879434178912279,-0.3347343725521408
NOP,early (16–23),13201,0.11446102567987274,0.011278147270913728,-0.3658767917206099
NYK,late (0–7),10901,0.036418677185579305,0.00381286222445282,-0.4046512986767417
NYK,middle (8–15),21987,0.09164506299176786,0.00853254994093264,-0.31136437045233256
NYK,early (16–23),10897,0.110305588694136,0.009793827300233832,-0.357576872294332
OKC,late (0–7),9176,0.03312990409764603,0.0032365008806181173,-0.43735086124795314
OKC,middle (8–15),22451,0.07456238029486437,0.00768361028609081,-0.34399885198638575
OKC,early (16–23),13595,0.08194189040088268,0.007567369805020163,-0.38986114501832375
ORL,late (0–7),10508,0.02046060144651694,0.0016478729967889677,-0.4491523454453138
ORL,middle (8–15),22772,0.06630950289829615,0.006674549578878818,-0.33836815337100384
ORL,early (16–23),11720,0.08976109215017065,0.008840655241055644,-0.3729014433318377
PHI,late (0–7),10117,0.03647326282494811,0.004642994707609732,-0.4272557301580002
PHI,middle (8–15),21669,0.0815450643776824,0.009946996151689305,-0.3463480880401851
