TEAM_ABBREVIATION,N_SHOTS,OBSERVED_EXPOSURE,EXPECTED_EXPOSURE,OBSERVED_EXPOSURE_PER_SHOT,MIX_EXPECTED_EXPOSURE_PER_SHOT,WITHIN_CONTEXT_EXCESS,WITHIN_CONTEXT_RANK
DEN,44581,522.2840105031128,365.29795755363557,0.011715394686146852,0.008194027894251712,0.0035213667918951395,1
GSW,44466,469.08724863975186,350.8040148767574,0.010549346661263705,0.007889264041666833,0.0026600826195968715,2
MIA,43073,434.34905402179635,347.2237469311315,0.010084021406026893,0.00806128542082352,0.002022735985203373,3
HOU,44184,357.15062585830566,272.34841622756863,0.00808325696764226,0.0061639601717266125,0.0019192967959156476,4
DET,43363,442.63655131977674,369.754184269503,0.010207701296491865,0.008526951185792104,0.0016807501106997618,5
BOS,45160,435.0000988535044,360.1071911023112,0.009632420258049256,0.007974029918120266,0.0016583903399289904,6
UTA,42885,401.8012954394828,332.58367855458204,0.0093692735324585,0.007755244923739817,0.001614028608718683,7
CHA,43945,404.60638680592314,342.78266689567255,0.00920710858586695,0.007800265488580556,0.0014068430972863947,8
MIL,44682,387.6869218636247,355.2941073046476,0.008676579424905437,0.007951616026691902,0.0007249633982135354,9
PHI,43975,390.39153311290556,361.50589638574445,0.008877578922408313,0.008220713959880489,0.0006568649625278249,10
SAC,44613,444.40545233795933,416.2447809479764,0.009961344279424368,0.009330123079550274,0.0006312211998740942,11
NOP,45641,416.4326506838673,390.0040102614748,0.009124091292562987,0.008545036486086519,0.0005790548064764679,12
WAS,45313,420.4067250031271,400.6691055842963,0.009277839141154352,0.008842255105252274,0.00043558403590207746,13
CHI,44265,397.2093531078588,382.7834604541303,0.008973440711800718,0.00864754231230386,0.000325898399496859,14
TOR,43961,346.7901635439606,351.5967513532405,0.00788858678246538,0.007997924327318317,-0.00010933754485293636,15
POR,45412,333.23120302045123,345.84918879827205,0.007337954792135366,0.007615810552238881,-0.0002778557601035153,16
CLE,42469,314.08391067018397,327.5060443247179,0.0073956041034680346,0.007711649540246248,-0.00031604543677821346,17
MIN,44470,351.86398785691915,375.8712776540706,0.00791239010247176,0.008452243707085014,-0.0005398536046132534,18
NYK,43785,335.89252275069424,367.219672026532,0.007671406252157,0.008386882997065937,-0.0007154767449089371,19
BKN,44990,333.91629469284345,371.5640460754149,0.0074220114401610015,0.008258814093696708,-0.0008368026535357067,20
IND,44845,334.69106423468463,378.93517980609465,0.0074632860794890095,0.008449886939594038,-0.0009866008601050287,21
LAC,43744,321.25743980185837,367.7917295000916,0.007344034377328511,0.008407821175477588,-0.0010637867981490778,22
SAS,44694,364.23678782508273,421.04130875098093,0.008149567902292987,0.009420533153241619,-0.0012709652509486323,23
DAL,44188,268.52873686209784,331.0377262877754,0.0060769606423032915,0.0074915752305552506,-0.001414614588251959,24
LAL,44614,294.47700306348605,362.1343904030034,0.006600551465089121,0.008117057210808343,-0.001516505745719222,25
ATL,44445,279.5663750155888,358.52905062464674,0.006290164810790613,0.008066802804019502,-0.001776637993228889,26
OKC,45222,305.08125911282576,385.83871805659265,0.006746301780390645,0.008532102031236846,-0.0017858002508462012,27
PHX,45078,325.16038703619625,406.8362227539916,0.007213283354101696,0.009025161337104388,-0.0018118779830026922,28
MEM,44508,307.3176053535744,406.247867988276,0.00690477229607204,0.009127524669458884,-0.0022227523733868437,29
ORL,45000,272.9211718856591,389.8065812827082,0.006064914930792424,0.00866236847294907,-0.0025974535421566464,30
