TEAM_ABBREVIATION,N_SHOTS,PREMATURE,SHORTFALL_WHEN_BELOW,EXPOSURE_PER_SHOT,MEAN_SECOND,LATE_SHARE,EARLY_SHARE,MEAN_SHOT_VALUE,CURVE_LEVEL,CURVE_DROP_22_TO_2,N_POSS,PPP,OFFENSE_RANK,PREMATURE_RANK,EXPOSURE_RANK,REVIEW_FLAG
TOR,43961,0.07463433497873115,0.10569648385978685,0.007888586782465382,11.849457473669844,0.24560405814244443,0.28386524419371717,1.2258191730354457,0.8649332851262611,0.3004489972809221,49751,1.1576450724608551,1,19,17,False
DEN,44581,0.10517933648863866,0.11138494572469881,0.011715394686146852,11.728561494807204,0.24084251138377336,0.2608958973553756,1.2256920233415967,0.8844159920702879,0.29526823528216395,50185,1.156421241406795,2,1,1,False
GSW,44466,0.10133585211172581,0.10410280706607898,0.010549346661263705,12.297935501281879,0.19668960554131246,0.29611388476588857,1.2434533870660915,0.8728548368662231,0.338619313642071,51084,1.1556847545219637,3,2,2,False
LAC,43744,0.08316569129480615,0.08830605821931237,0.007344034377328511,11.829805230431601,0.23244330651060716,0.27297457937088515,1.2282505137619981,0.8612116406445983,0.33716161019473456,50730,1.1478415138971023,4,12,22,False
MIL,44682,0.0823821673156976,0.10532108716751555,0.008676579424905437,12.264401772525849,0.2085179714426391,0.3002103755427241,1.2440876779139225,0.8458822885017794,0.36800389378185405,51204,1.144676197172096,5,14,13,False
HOU,44184,0.06463878326996197,0.12505274014646559,0.00808325696764226,12.142879775484339,0.20987235198261814,0.2912592793771501,1.26797313231473,0.8573181543890945,0.31732695789661947,51252,1.1440334035744946,6,26,15,False
BOS,45160,0.0912533215234721,0.10555692765190594,0.009632420258049256,11.874357838795394,0.22393711248892825,0.2682240921169176,1.2113688206505595,0.8482124253722846,0.3666809566353487,50550,1.1438971315529178,7,6,6,False
UTA,42885,0.08413198087909525,0.11136399541005619,0.0093692735324585,11.363017372041506,0.2614433951265011,0.2409700361431736,1.230040499340885,0.8640694880072347,0.28796603609915583,49510,1.1437285396889518,8,11,7,False
POR,45412,0.0704659561349423,0.10413475094389103,0.007337954792135366,11.563551484189201,0.2438122082269004,0.24867876332246983,1.226509554920939,0.8665667425441154,0.30741036146039125,50905,1.1414595815735193,9,21,23,False
MIN,44470,0.07982909826849562,0.09911661629772371,0.007912390102471759,11.841308747470205,0.22415111310996177,0.2604677310546436,1.2183554167637436,0.8398336490443171,0.2964342367294691,50378,1.1351582039779269,10,17,16,False
SAS,44694,0.08236004832863472,0.09895049927331777,0.008149567902292987,11.513693113169554,0.2437016154293641,0.2425157739293865,1.1934260905507952,0.8511850911858807,0.3407172895075211,50220,1.133910792512943,11,15,14,False
DAL,44188,0.06024259980085091,0.10087480723594958,0.0060769606423032915,11.28645786186295,0.2570381098940889,0.2275504661899158,1.2321830106490586,0.8474234415633518,0.3363009968306042,49949,1.131213838114877,12,29,29,False
